employee_id,hire_date,department,role,salary_usd,age,gender,office,education,years_experience,performance_score,satisfaction_score,is_active
EMP-0019,2015-11-26,HR,HR Manager,86400,44,Male,New York,Bachelor,11,2.9,4.0,True
EMP-0020,2015-12-14,Engineering,Staff Engineer,184500,44,Non-binary,New York,PhD,20,4.1,7.8,True
EMP-0021,2023-12-25,Marketing,CMO,130600,43,Non-binary,Toronto,PhD,2,2.6,9.5,True
EMP-0022,2022-05-10,Marketing,SEO Specialist,72300,51,Male,Sydney,PhD,25,3.6,4.2,True
EMP-0023,2019-11-12,Marketing,Content Writer,59900,28,Male,London,High School,2,2.0,3.6,True
EMP-0024,2023-04-19,Operations,Ops Manager,83300,30,Female,Toronto,PhD,0,4.3,8.9,True
EMP-0025,2015-01-17,Marketing,Content Writer,83900,33,Male,London,Bachelor,9,2.9,7.5,True
EMP-0026,2023-10-18,Operations,COO,96200,57,Male,Sydney,High School,30,2.0,3.5,True
EMP-0027,2018-08-26,Product,Product Analyst,115400,26,Non-binary,Sydney,Bachelor,3,3.8,5.1,True
EMP-0028,2017-04-09,Product,Product Manager,135600,38,Female,London,PhD,17,1.5,5.0,True
EMP-0029,2023-09-18,HR,HR Director,84400,41,Male,Remote,Master,3,1.6,8.9,False
EMP-0030,2022-06-28,HR,HR Coordinator,60600,53,Male,London,PhD,10,5.0,4.6,True
EMP-0031,2018-10-16,Operations,Ops Manager,69200,45,Non-binary,Toronto,PhD,0,3.8,4.5,True
EMP-0032,2015-12-11,Finance,Analyst,71600,36,Female,Berlin,High School,3,4.6,2.6,True
EMP-0033,2021-05-26,Legal,Senior Counsel,127600,56,Female,Remote,Master,32,1.4,1.5,True
EMP-0034,2015-12-29,Legal,Paralegal,86200,23,Female,New York,Bachelor,2,1.3,8.8,True
EMP-0035,2015-06-26,Operations,COO,92600,39,Non-binary,Remote,Bachelor,4,4.8,9.7,True
EMP-0036,2023-07-08,Marketing,SEO Specialist,102700,41,Male,Berlin,PhD,16,3.0,2.6,True
EMP-0037,2020-09-02,Engineering,Lead Engineer,115000,23,Non-binary,London,PhD,2,2.0,5.0,True
EMP-0038,2018-06-14,Legal,General Counsel,153800,47,Non-binary,London,Bachelor,16,2.4,8.5,True
EMP-0039,2015-02-28,Marketing,CMO,139500,25,Male,Remote,Master,1,2.7,1.5,True
EMP-0040,2020-02-25,Legal,Senior Counsel,137300,40,Male,London,Master,1,2.8,3.4,False
EMP-0041,2018-12-31,Operations,Ops Analyst,56100,41,Male,New York,Master,6,2.5,5.3,True
EMP-0042,2017-12-18,HR,Recruiter,75700,22,Male,London,PhD,0,3.3,4.5,True
EMP-0043,2022-05-17,HR,HR Coordinator,65100,55,Non-binary,Sydney,PhD,9,4.1,7.5,True
EMP-0044,2023-03-25,Finance,Accountant,83300,54,Non-binary,Sydney,Bachelor,27,4.6,7.8,True
EMP-0045,2015-05-08,Engineering,Engineering Manager,199900,36,Male,London,Master,2,4.8,4.4,True
EMP-0046,2017-12-16,Engineering,Junior Dev,104500,37,Male,Toronto,High School,15,4.0,5.5,True
EMP-0047,2017-08-19,Sales,VP of Sales,114100,26,Non-binary,London,Bachelor,2,4.0,9.8,True
EMP-0048,2021-12-02,Legal,Paralegal,93700,40,Non-binary,Remote,Bachelor,1,1.3,2.3,True
EMP-0049,2018-01-05,Finance,Accountant,82100,25,Non-binary,New York,Bachelor,3,3.7,3.6,True
EMP-0050,2017-03-27,Product,VP of Product,165800,29,Female,New York,PhD,8,1.1,5.1,True
EMP-0051,2021-07-09,Product,Senior PM,140700,35,Male,London,Master,1,4.8,2.2,True
EMP-0052,2020-06-14,Finance,Analyst,90500,36,Female,New York,Bachelor,15,1.0,5.4,True
EMP-0053,2016-05-10,Finance,Accountant,97600,46,Female,New York,Master,10,4.0,8.6,True
EMP-0054,2019-03-05,HR,HR Coordinator,72600,40,Male,Toronto,PhD,8,5.0,6.3,True
EMP-0055,2015-07-31,Legal,Senior Counsel,150200,39,Non-binary,Berlin,Bachelor,3,2.0,3.4,True
EMP-0056,2015-04-29,HR,HR Manager,97800,49,Non-binary,Toronto,Bachelor,28,3.9,1.4,True
EMP-0057,2015-07-20,Product,Product Manager,132900,40,Non-binary,London,Bachelor,15,2.9,4.1,True
EMP-0058,2021-04-01,Finance,CFO,142400,41,Non-binary,Toronto,High School,15,1.7,2.5,True
EMP-0059,2019-10-17,Product,Product Manager,123700,43,Male,Sydney,Bachelor,14,2.0,2.6,True
EMP-0060,2015-03-24,Operations,Ops Analyst,64800,58,Non-binary,Toronto,PhD,12,2.7,5.7,True
EMP-0061,2016-05-30,Operations,Ops Analyst,68200,58,Non-binary,Sydney,Bachelor,23,1.4,9.1,True
EMP-0062,2015-05-13,Product,VP of Product,197100,23,Female,Remote,PhD,0,4.9,5.4,True
EMP-0063,2016-09-24,Product,VP of Product,151900,28,Male,Sydney,High School,3,4.8,7.5,True
EMP-0064,2023-10-10,Product,Product Analyst,107100,24,Male,London,High School,0,3.6,3.7,True
EMP-0065,2015-10-16,Finance,CFO,144600,29,Female,Sydney,Bachelor,1,2.6,3.0,True
EMP-0066,2018-07-19,Engineering,Engineering Manager,166000,51,Non-binary,London,PhD,8,3.1,5.9,True
EMP-0067,2022-07-25,Legal,Senior Counsel,109900,34,Non-binary,Toronto,High School,7,2.0,7.0,False
EMP-0068,2019-09-19,HR,HR Director,82900,43,Female,Remote,PhD,22,1.8,8.2,True
EMP-0069,2023-08-03,Sales,Account Executive,94300,34,Male,London,PhD,4,1.9,7.8,True
EMP-0070,2022-06-18,Product,Product Manager,145000,53,Male,Sydney,Bachelor,26,4.7,1.5,True
EMP-0071,2019-05-31,Marketing,CMO,97500,25,Female,Remote,Master,1,3.9,10.0,False
EMP-0072,2015-05-11,Operations,Ops Analyst,60100,55,Female,Remote,PhD,29,4.4,9.9,True
EMP-0073,2019-09-18,Sales,SDR,66100,27,Male,Sydney,Bachelor,2,2.5,7.9,True
EMP-0074,2019-03-07,Legal,Paralegal,78300,52,Non-binary,Toronto,Bachelor,12,2.3,7.6,True
EMP-0075,2019-03-19,Legal,Associate,126900,47,Male,Toronto,High School,1,4.2,1.6,True
EMP-0076,2015-06-28,Sales,Sales Manager,104500,43,Female,Remote,Master,19,4.7,3.7,True
EMP-0077,2023-01-09,Sales,SDR,88500,28,Female,Toronto,Master,7,4.7,8.3,True
EMP-0078,2021-10-23,Product,Product Manager,102400,41,Male,Berlin,Master,4,2.8,8.1,True
EMP-0079,2015-09-23,HR,HR Director,110500,37,Non-binary,New York,PhD,13,3.2,3.9,False
EMP-0080,2016-01-30,Sales,SDR,71700,27,Female,Toronto,PhD,1,1.7,2.2,True
EMP-0081,2018-02-18,HR,HR Coordinator,69700,40,Non-binary,Berlin,Master,9,2.0,3.3,True
EMP-0082,2017-02-10,Marketing,SEO Specialist,79300,40,Female,New York,PhD,18,2.0,3.2,True
EMP-0083,2020-04-28,Sales,VP of Sales,149600,28,Male,Toronto,Master,0,1.2,3.6,True
EMP-0084,2016-12-29,HR,Recruiter,88000,45,Female,Sydney,Master,16,4.1,7.0,True
EMP-0085,2015-06-30,Operations,Ops Analyst,56200,43,Male,Berlin,High School,4,3.4,6.9,True
EMP-0086,2021-12-18,Engineering,Lead Engineer,134800,45,Female,New York,Bachelor,5,1.1,5.5,True
EMP-0087,2022-03-03,Legal,Paralegal,105200,57,Non-binary,New York,Bachelor,9,2.6,3.4,False
EMP-0088,2019-01-03,Finance,CFO,157600,41,Female,Toronto,High School,18,4.5,10.0,True
EMP-0089,2019-11-14,HR,HR Director,109600,35,Male,Toronto,High School,0,4.3,4.7,False
EMP-0090,2016-08-06,Product,Product Manager,108200,25,Non-binary,Toronto,High School,4,3.3,9.3,True
EMP-0091,2016-12-04,Marketing,SEO Specialist,83100,32,Male,New York,PhD,8,3.0,8.2,False
EMP-0092,2018-07-12,HR,HR Manager,75700,24,Male,Sydney,PhD,3,1.3,7.4,True
EMP-0093,2020-04-21,Marketing,SEO Specialist,92300,34,Male,Sydney,Bachelor,13,1.2,9.4,True
EMP-0094,2021-04-22,Operations,Ops Analyst,59100,34,Non-binary,New York,Master,0,1.5,6.4,True
EMP-0095,2019-05-14,Finance,CFO,124600,37,Non-binary,Berlin,PhD,13,3.0,2.6,True
EMP-0096,2017-01-05,Product,VP of Product,151100,51,Female,Toronto,High School,26,1.3,4.2,True
EMP-0097,2023-03-24,Product,Product Analyst,86600,30,Female,Remote,High School,1,1.2,5.5,True
EMP-0098,2016-06-23,Marketing,Content Writer,83500,29,Female,Berlin,Bachelor,3,3.7,7.5,True
EMP-0099,2021-11-18,Operations,COO,104900,32,Female,Toronto,Bachelor,5,2.0,9.7,True
EMP-0100,2017-01-15,Finance,Accountant,93900,24,Female,London,Master,1,3.7,9.1,True
EMP-0101,2020-01-30,Finance,Analyst,92600,25,Non-binary,Sydney,High School,2,2.0,5.8,False
EMP-0102,2016-08-21,Operations,Ops Manager,78000,45,Female,Berlin,High School,18,2.8,2.6,True
EMP-0103,2022-03-03,Engineering,Lead Engineer,156700,38,Non-binary,Remote,Master,9,3.9,7.7,True
EMP-0104,2016-06-24,Finance,CFO,130200,45,Female,London,High School,1,1.1,1.0,True
EMP-0105,2018-05-18,Sales,Sales Manager,111700,48,Non-binary,London,Bachelor,18,2.5,8.5,True
EMP-0106,2015-09-18,Engineering,Senior Dev,129200,50,Non-binary,London,Master,3,2.6,3.4,True
EMP-0107,2020-10-21,Operations,COO,100800,50,Non-binary,Toronto,Bachelor,19,1.7,1.0,True
EMP-0108,2023-09-26,Engineering,Staff Engineer,140500,32,Male,New York,Bachelor,0,1.6,2.8,True
EMP-0109,2022-01-07,Legal,Associate,113800,26,Male,Remote,PhD,2,3.9,1.1,True
EMP-0110,2017-07-14,Product,Product Analyst,114700,50,Male,Berlin,Bachelor,5,3.6,2.1,False
EMP-0111,2022-09-09,Finance,Analyst,76500,57,Non-binary,Berlin,Master,27,3.6,9.7,True
EMP-0112,2016-10-14,Engineering,Senior Dev,108800,37,Non-binary,Berlin,Bachelor,6,4.5,4.0,True
EMP-0113,2019-11-26,Product,VP of Product,189700,22,Non-binary,London,Master,0,4.2,4.5,True
EMP-0114,2021-12-22,Marketing,SEO Specialist,72500,29,Male,Berlin,Bachelor,1,3.8,1.3,True
EMP-0115,2023-07-18,Engineering,Junior Dev,108700,26,Female,London,High School,4,4.5,7.8,True
EMP-0116,2015-05-19,Legal,Paralegal,85400,35,Male,Remote,High School,1,4.3,6.7,True
EMP-0117,2018-07-31,Sales,Account Executive,80000,35,Female,Toronto,Master,4,1.1,3.3,True
EMP-0118,2018-03-24,Operations,Ops Manager,90300,54,Non-binary,Remote,High School,30,4.2,1.3,True
EMP-0119,2021-05-07,Sales,Sales Manager,108900,25,Male,Remote,High School,4,3.3,3.6,True
EMP-0120,2018-11-25,HR,HR Manager,97000,25,Female,New York,PhD,0,3.8,8.4,False
EMP-0121,2017-05-29,Operations,COO,86800,32,Non-binary,London,PhD,4,1.7,9.4,True
EMP-0122,2019-07-02,Product,Product Analyst,110100,44,Female,Remote,High School,3,2.7,6.8,True
EMP-0123,2016-12-01,Finance,Finance Manager,114400,56,Female,Remote,Bachelor,32,4.8,2.1,True
EMP-0124,2020-01-19,Engineering,Lead Engineer,144000,55,Non-binary,Sydney,Master,9,1.7,4.9,True
EMP-0125,2017-02-23,HR,Recruiter,70800,37,Female,Berlin,Bachelor,16,3.9,9.8,True
EMP-0126,2023-03-04,Operations,Ops Analyst,61400,34,Male,London,High School,4,1.8,2.4,True
EMP-0127,2022-02-26,Finance,Finance Manager,114700,34,Male,Berlin,Bachelor,1,4.5,5.2,True
EMP-0128,2015-04-01,Legal,Associate,113400,40,Male,Berlin,PhD,14,1.0,3.2,False
EMP-0129,2022-03-12,Legal,Associate,120700,36,Male,Toronto,PhD,5,2.3,6.7,True
EMP-0130,2019-10-01,Legal,Associate,125600,32,Female,Toronto,High School,4,3.5,4.7,True
EMP-0131,2016-03-11,Marketing,Marketing Manager,113800,46,Male,Berlin,Bachelor,15,1.6,8.0,False
EMP-0132,2017-04-19,Operations,Ops Analyst,77300,51,Non-binary,Toronto,High School,17,3.6,8.5,True
EMP-0133,2020-10-05,Legal,General Counsel,134500,33,Male,Remote,Master,6,3.6,3.3,True
EMP-0134,2022-10-31,Engineering,Junior Dev,83600,48,Non-binary,Berlin,Master,20,1.4,3.7,True
EMP-0135,2023-09-16,HR,HR Director,99300,32,Male,Remote,Bachelor,2,2.9,6.1,True
EMP-0136,2018-04-20,Marketing,Marketing Manager,109400,48,Non-binary,Remote,Bachelor,14,4.1,5.2,True
EMP-0137,2022-08-12,HR,HR Manager,95100,38,Male,Toronto,High School,13,4.2,8.2,True
EMP-0138,2022-02-23,Finance,Finance Manager,116700,49,Male,Remote,Master,19,1.6,3.7,True
EMP-0139,2018-11-14,Sales,Sales Manager,122200,30,Non-binary,Sydney,High School,8,3.6,2.9,True
EMP-0140,2017-01-30,Finance,Finance Manager,122400,31,Female,Berlin,Bachelor,3,1.8,4.6,True
EMP-0141,2015-11-19,Sales,Sales Manager,97500,35,Non-binary,Toronto,High School,8,3.2,3.4,True
EMP-0142,2020-03-28,Marketing,CMO,117300,25,Male,Remote,PhD,3,2.0,2.5,True
EMP-0143,2021-04-23,Engineering,Senior Dev,135200,51,Female,Remote,Master,22,4.4,4.4,True
EMP-0144,2021-11-02,Sales,Account Executive,99400,23,Male,Remote,Master,0,4.2,1.8,True
EMP-0145,2016-06-03,Marketing,Content Writer,65500,48,Female,New York,Master,20,2.4,8.0,True
EMP-0146,2021-03-19,HR,HR Manager,86000,49,Male,Berlin,Master,8,2.4,5.4,True
EMP-0147,2018-09-17,Finance,Finance Manager,138900,53,Male,Berlin,Master,7,1.5,9.8,True
EMP-0148,2021-06-09,Engineering,Staff Engineer,173100,47,Male,Toronto,Master,17,1.4,1.4,True
EMP-0149,2021-11-30,Product,Product Analyst,116600,56,Male,Remote,High School,24,1.9,7.0,True
EMP-0150,2023-09-08,Marketing,Content Writer,78100,24,Male,Remote,High School,3,2.5,8.4,True
EMP-0151,2015-03-25,Finance,Finance Manager,103500,24,Female,Sydney,High School,2,3.0,5.7,True
EMP-0152,2021-08-29,Legal,General Counsel,148100,22,Non-binary,Remote,Bachelor,1,2.9,4.7,True
EMP-0153,2015-01-20,Product,Product Manager,145000,22,Male,Remote,High School,1,4.9,8.7,True
EMP-0154,2017-09-19,Sales,Account Executive,93500,39,Female,Remote,Bachelor,18,4.7,4.3,True
EMP-0155,2020-03-01,Marketing,Content Writer,67700,57,Non-binary,Berlin,High School,31,3.9,1.1,True
EMP-0156,2021-10-30,Sales,VP of Sales,116900,32,Male,Berlin,Master,7,4.8,7.5,True
EMP-0157,2022-03-26,Marketing,SEO Specialist,103900,29,Male,Remote,PhD,5,2.9,8.0,True
EMP-0158,2022-04-20,Finance,Finance Manager,108300,25,Non-binary,Sydney,Master,4,4.5,7.5,True
EMP-0159,2019-05-06,Marketing,Marketing Manager,106200,37,Non-binary,Toronto,Bachelor,12,4.2,3.5,True
EMP-0160,2016-07-30,Finance,Finance Manager,114100,24,Non-binary,London,Master,2,4.9,8.2,True
EMP-0161,2020-06-08,Product,Senior PM,148900,56,Female,London,Bachelor,35,2.2,1.5,True
EMP-0162,2020-02-27,HR,HR Manager,91100,22,Non-binary,New York,Master,1,4.1,3.1,True
EMP-0163,2017-05-21,Finance,Finance Manager,116600,34,Male,New York,Bachelor,3,4.2,3.6,True
EMP-0164,2015-07-02,Operations,Ops Manager,90600,31,Female,Berlin,High School,3,2.5,5.2,True
EMP-0165,2021-10-22,Operations,COO,78500,39,Male,New York,High School,16,1.8,8.8,True
EMP-0166,2016-02-02,HR,HR Manager,102500,39,Female,Sydney,Bachelor,13,2.0,1.3,True
EMP-0167,2021-04-02,Marketing,CMO,98900,25,Female,Remote,PhD,0,2.9,8.6,False
EMP-0168,2018-07-29,Legal,Paralegal,101900,27,Non-binary,London,High School,2,4.8,7.0,True
EMP-0169,2016-12-06,Product,Product Manager,119800,37,Male,Berlin,Master,7,1.2,6.0,True
EMP-0170,2016-02-18,Engineering,Lead Engineer,154900,52,Male,Berlin,High School,3,4.8,7.1,True
EMP-0171,2019-05-17,Product,Product Analyst,103800,45,Male,Berlin,PhD,8,2.5,5.0,True
EMP-0172,2015-05-28,Engineering,Staff Engineer,172800,34,Male,London,High School,12,4.7,8.8,False
EMP-0173,2022-01-17,Marketing,CMO,138100,46,Male,Toronto,Master,0,2.3,3.1,True
EMP-0174,2023-01-02,Operations,Ops Analyst,63900,25,Female,Sydney,Bachelor,1,2.8,2.3,True
EMP-0175,2018-10-02,HR,Recruiter,61900,58,Male,Berlin,PhD,18,1.4,5.1,True
EMP-0176,2020-05-09,Marketing,Content Writer,77200,35,Female,New York,Master,8,4.0,9.7,True
EMP-0177,2018-03-31,Finance,Accountant,117100,28,Female,London,High School,6,4.3,9.8,True
EMP-0178,2016-07-28,Engineering,Staff Engineer,178300,43,Female,New York,Master,16,1.7,4.9,False
EMP-0179,2020-11-06,HR,HR Manager,90600,30,Male,Remote,Bachelor,2,1.8,1.7,True
EMP-0180,2022-07-06,Product,Senior PM,128800,30,Non-binary,Remote,Bachelor,9,3.3,2.8,True
EMP-0181,2018-02-28,Legal,Paralegal,95200,44,Non-binary,Toronto,High School,10,1.1,9.2,True
EMP-0182,2016-10-31,Finance,Accountant,88700,45,Non-binary,Berlin,High School,1,2.4,9.4,False
EMP-0183,2023-09-27,Sales,SDR,74500,37,Non-binary,Toronto,High School,10,2.2,2.0,True
EMP-0184,2015-03-26,Product,Product Analyst,106200,56,Male,New York,Bachelor,8,3.5,2.5,True
EMP-0185,2015-03-14,Engineering,Junior Dev,84400,34,Non-binary,Remote,PhD,4,3.1,7.3,True
EMP-0186,2020-07-14,Sales,Account Executive,78100,29,Non-binary,Sydney,Master,7,1.4,2.1,False
EMP-0187,2023-05-16,HR,Recruiter,65400,58,Female,London,High School,29,4.8,4.5,True
EMP-0188,2018-10-18,Engineering,Staff Engineer,188200,25,Female,London,Master,2,3.9,8.6,True
EMP-0189,2020-10-20,Operations,Ops Manager,92700,25,Male,Remote,Master,2,2.0,4.8,True
EMP-0190,2019-11-09,Operations,Ops Analyst,69100,26,Male,Sydney,High School,2,1.9,4.8,True
EMP-0191,2022-03-12,Product,Product Analyst,117400,24,Non-binary,Berlin,Master,0,3.5,8.3,True
EMP-0192,2017-08-27,Sales,Sales Manager,94400,22,Male,Berlin,High School,1,2.2,6.8,True
EMP-0193,2019-12-08,Finance,Analyst,82900,56,Male,Sydney,Bachelor,9,4.5,9.2,True
EMP-0194,2020-02-04,Finance,Accountant,109900,56,Non-binary,Remote,Bachelor,18,3.6,2.8,True
EMP-0195,2015-05-07,Product,Senior PM,153300,52,Male,Berlin,Bachelor,19,1.8,5.9,False
EMP-0196,2018-08-19,Legal,Paralegal,109800,32,Non-binary,Berlin,PhD,3,2.1,8.9,True
EMP-0197,2018-11-26,Engineering,Junior Dev,86800,26,Female,Remote,High School,4,3.1,8.5,True
EMP-0198,2018-10-12,Sales,Account Executive,112100,31,Non-binary,Berlin,Bachelor,6,3.7,6.5,True
EMP-0199,2016-02-28,Sales,VP of Sales,114900,30,Male,Toronto,High School,6,3.0,9.7,True
EMP-0200,2020-01-27,Legal,Senior Counsel,151100,29,Non-binary,Toronto,Master,6,3.9,3.6,True
EMP-0201,2019-12-24,Legal,Senior Counsel,107400,53,Female,London,Master,24,4.2,4.9,True
EMP-0202,2021-10-26,HR,HR Coordinator,70700,43,Male,Berlin,Bachelor,10,4.9,9.0,False
EMP-0203,2021-01-06,Engineering,Junior Dev,90500,53,Female,Sydney,PhD,19,3.1,5.7,True
EMP-0204,2015-02-12,Legal,General Counsel,143000,44,Non-binary,New York,Bachelor,14,1.4,4.4,True
EMP-0205,2019-12-08,Marketing,SEO Specialist,103800,53,Non-binary,Sydney,Master,25,3.8,7.7,True
EMP-0206,2020-09-30,Operations,Ops Manager,77700,26,Male,New York,Master,2,3.8,8.4,False
EMP-0207,2020-08-30,Legal,Associate,114400,54,Male,Toronto,Bachelor,13,1.2,6.1,True
EMP-0208,2022-12-20,Engineering,Staff Engineer,129900,22,Non-binary,Sydney,High School,1,4.7,4.6,True
EMP-0209,2022-04-03,Engineering,Junior Dev,88200,53,Non-binary,Sydney,Bachelor,17,3.3,4.7,True
EMP-0210,2020-11-10,Marketing,Content Writer,60300,26,Female,Toronto,PhD,1,4.2,1.6,True
EMP-0211,2016-11-24,Operations,Ops Analyst,73900,44,Male,Berlin,High School,8,4.4,9.5,True
EMP-0212,2017-06-20,HR,HR Director,105600,23,Female,Sydney,High School,0,2.8,6.6,True
EMP-0213,2015-01-26,Engineering,Senior Dev,139300,33,Female,Berlin,PhD,5,3.4,9.6,True
EMP-0214,2018-06-20,Sales,Account Executive,100900,36,Female,Remote,PhD,13,1.1,8.8,True
EMP-0215,2019-06-11,Marketing,Marketing Manager,98200,22,Non-binary,Berlin,High School,1,2.3,8.8,True
EMP-0216,2017-09-30,Sales,SDR,76400,44,Female,London,PhD,17,2.1,3.1,True
EMP-0217,2016-01-15,Engineering,Lead Engineer,155900,37,Male,Berlin,Bachelor,4,3.2,5.2,True
EMP-0218,2019-07-18,HR,Recruiter,71800,35,Female,Remote,Bachelor,11,2.2,5.3,True
EMP-0219,2021-08-03,Product,Product Manager,147200,38,Female,Sydney,Bachelor,14,2.6,5.6,True
EMP-0220,2015-04-28,Sales,SDR,80000,39,Non-binary,Remote,Bachelor,12,2.2,4.5,True
EMP-0221,2021-04-20,Marketing,SEO Specialist,82200,28,Female,Sydney,Master,1,1.8,7.5,True
EMP-0222,2018-12-28,Finance,Accountant,113000,47,Female,Toronto,Bachelor,9,4.7,2.6,True
EMP-0223,2019-06-29,Operations,Ops Manager,67100,51,Female,Remote,High School,7,1.7,2.0,False
EMP-0224,2017-03-22,HR,HR Coordinator,60700,32,Female,London,PhD,6,4.0,6.0,True
EMP-0225,2019-11-17,Marketing,SEO Specialist,90600,55,Non-binary,Remote,Master,16,4.7,2.0,True
EMP-0226,2022-08-21,Finance,Analyst,96000,25,Male,New York,Master,1,1.8,9.2,True
EMP-0227,2021-11-25,Sales,VP of Sales,135300,47,Male,Berlin,High School,23,2.4,9.5,True
EMP-0228,2015-08-11,Operations,COO,95700,50,Non-binary,Remote,Bachelor,16,2.7,5.6,False
EMP-0229,2016-12-15,Marketing,CMO,129300,24,Non-binary,London,Bachelor,2,3.2,3.2,True
EMP-0230,2018-06-26,Operations,Ops Manager,79100,34,Male,London,PhD,10,3.7,3.1,True
EMP-0231,2018-05-11,Product,Product Manager,146900,44,Male,Remote,Bachelor,22,3.4,3.2,True
EMP-0232,2022-06-23,Sales,VP of Sales,138500,32,Male,Sydney,PhD,10,4.4,4.7,True
EMP-0233,2015-09-05,Finance,Analyst,79500,35,Female,Berlin,Bachelor,0,1.4,3.8,False
EMP-0234,2018-03-31,Marketing,Marketing Manager,100700,58,Male,Sydney,High School,23,1.2,5.2,False
EMP-0235,2017-12-19,Product,Product Analyst,114900,43,Male,Remote,PhD,18,4.8,5.4,True
EMP-0236,2018-03-17,Operations,Ops Analyst,64600,27,Non-binary,Sydney,Master,5,3.6,1.7,True
EMP-0237,2017-01-30,Engineering,Staff Engineer,180200,40,Non-binary,Sydney,Bachelor,11,1.4,7.5,True
EMP-0238,2017-08-01,Operations,Ops Manager,72100,44,Female,London,Master,10,4.4,3.3,True
EMP-0239,2019-09-29,Sales,VP of Sales,145400,35,Female,Remote,Bachelor,7,5.0,6.4,True
EMP-0240,2019-07-03,Marketing,SEO Specialist,76900,50,Male,New York,PhD,20,2.9,3.0,True
EMP-0241,2016-08-09,Engineering,Engineering Manager,203900,54,Female,New York,High School,27,3.1,4.8,True
EMP-0242,2016-11-04,Product,Product Analyst,111600,33,Female,Berlin,High School,11,2.8,6.1,True
EMP-0243,2020-03-01,HR,HR Director,84900,42,Female,Sydney,Bachelor,16,4.9,9.7,True
EMP-0244,2021-05-28,Engineering,Lead Engineer,145500,41,Female,Berlin,PhD,18,3.6,2.2,False
EMP-0245,2015-12-16,Engineering,Senior Dev,107000,50,Male,Remote,Master,22,3.2,9.5,True
EMP-0246,2017-01-09,HR,HR Director,96800,29,Male,Sydney,High School,3,1.9,8.5,True
EMP-0247,2017-07-16,HR,HR Manager,95200,36,Non-binary,Sydney,High School,14,3.9,9.2,True
EMP-0248,2021-03-05,Legal,Paralegal,105300,30,Non-binary,Remote,High School,8,3.5,9.6,True
EMP-0249,2020-04-30,Product,VP of Product,170800,34,Male,London,Master,9,4.1,1.5,True
EMP-0250,2018-05-13,Operations,Ops Analyst,55600,35,Male,Remote,Bachelor,7,2.7,9.0,True
EMP-0251,2019-02-12,HR,HR Coordinator,73000,44,Non-binary,Berlin,High School,5,4.3,2.1,True
EMP-0252,2018-12-28,Operations,COO,95100,44,Non-binary,Berlin,High School,3,1.1,9.2,True
EMP-0253,2019-12-07,Operations,Ops Analyst,73300,23,Male,New York,PhD,2,1.4,8.2,True
EMP-0254,2022-09-25,Finance,CFO,151600,38,Female,Toronto,High School,17,1.1,10.0,True
EMP-0255,2017-01-16,Product,Product Analyst,117000,24,Non-binary,Remote,PhD,0,4.4,9.7,True
EMP-0256,2019-01-18,Product,VP of Product,150700,55,Female,Sydney,Bachelor,4,2.2,2.2,True
EMP-0257,2021-06-21,HR,Recruiter,84800,51,Female,Toronto,Master,10,2.3,4.0,True
EMP-0258,2023-02-25,HR,HR Coordinator,57000,24,Non-binary,London,Master,1,2.5,1.6,False
EMP-0259,2021-04-15,Operations,COO,98200,30,Male,London,PhD,0,3.5,6.7,True
EMP-0260,2015-10-23,Finance,Accountant,115100,31,Female,Berlin,Master,10,3.0,6.7,True
